bus_name,lat,lon
Bus 1,19.9730316,73.7738673
Bus 1,19.9728591,73.7737422
Bus 1,19.9730981,73.7734757
Bus 1,19.9739737,73.7743485
Bus 1,19.9739841,73.7745962
Bus 1,19.9730316,73.7738673
Bus 1,19.9728255,73.7743008
Bus 1,19.9722847,73.7737325
Bus 1,19.9715891,73.7759891
Bus 1,19.9714951,73.775965
Bus 1,19.9705242,73.7757342
Bus 1,19.970327,73.775684
Bus 1,19.9700071,73.7756131
Bus 1,19.9699032,73.7755915
Bus 1,19.9696046,73.7755296
Bus 1,19.9697413,73.7747936
Bus 1,19.9696046,73.7755296
Bus 1,19.9699032,73.7755915
Bus 1,19.9700071,73.7756131
Bus 1,19.9699394,73.7759674
Bus 1,19.9698669,73.776327
Bus 1,19.9701289,73.7768379
Bus 1,19.9698669,73.776327
Bus 1,19.9699394,73.7759674
Bus 1,19.9700071,73.7756131
Bus 1,19.9699032,73.7755915
Bus 1,19.9696046,73.7755296
Bus 1,19.9690023,73.7753405
Bus 1,19.9685962,73.7752043
Bus 1,19.968076,73.7750298
Bus 1,19.9677064,73.7749042
Bus 1,19.9673063,73.7747715
Bus 1,19.9669959,73.7746535
Bus 1,19.9673601,73.7756793
Bus 1,19.9672745,73.7756972
Bus 1,19.9668951,73.7757203
Bus 1,19.9664608,73.77568
Bus 1,19.9658046,73.7756391
Bus 1,19.9650752,73.775723
Bus 1,19.9647203,73.7756823
Bus 1,19.9645759,73.7756594
Bus 1,19.9647203,73.7756823
Bus 1,19.9646371,73.7767345
Bus 1,19.964602,73.7771787
Bus 1,19.9645588,73.7777138
Bus 1,19.9631882,73.7774767
Bus 1,19.9631588,73.7778081
Bus 1,19.9629732,73.7786002
Bus 1,19.9640264,73.7791242
Bus 1,19.9644253,73.7793111
Bus 1,19.9645588,73.7777138
Bus 1,19.964602,73.7771787
Bus 1,19.9645588,73.7777138
Bus 1,19.9631882,73.7774767
Bus 1,19.9631588,73.7778081
Bus 1,19.9642199,73.7779483
Bus 1,19.9631588,73.7778081
Bus 1,19.9629732,73.7786002
Bus 1,19.9640264,73.7791242
Bus 1,19.9644253,73.7793111
Bus 1,19.9644135,73.7794467
Bus 1,19.9629637,73.7786988
Bus 1,19.9628746,73.7786565
Bus 1,19.9623257,73.7784093
Bus 1,19.9621579,73.7783353
Bus 1,19.9617836,73.7782295
Bus 1,19.9610579,73.7780015
Bus 1,19.9609973,73.7787162
Bus 1,19.960994,73.7793566
Bus 1,19.9610098,73.7802272
Bus 1,19.9610294,73.7807518
Bus 1,19.9610447,73.7811875
Bus 1,19.9610539,73.7814094
Bus 1,19.9609982,73.7817892
Bus 1,19.9603268,73.7816954
Bus 1,19.9602511,73.7821104
Bus 1,19.9598172,73.7820477
Bus 1,19.9602511,73.7821104
Bus 1,19.9609365,73.7822098
Bus 1,19.961295,73.7822618
Bus 1,19.9616497,73.7823132
Bus 1,19.9615647,73.7830356
Bus 1,19.9619537,73.7830955
Bus 1,19.9628073,73.782458
Bus 1,19.9632625,73.7825101
Bus 1,19.9639434,73.7825926
Bus 1,19.9642865,73.7826499
Bus 1,19.964954,73.7827583
Bus 1,19.964882,73.783363
Bus 1,19.9648112,73.783957
Bus 1,19.9656453,73.7842308
Bus 1,19.9661009,73.7843615
Bus 1,19.9662956,73.7836114
Bus 1,19.9665598,73.7837146
Bus 1,19.9665263,73.7829029
Bus 1,19.9668518,73.7823772
Bus 1,19.96718,73.7809957
Bus 1,19.9671092,73.7809472
Bus 1,19.9671721,73.7808419
Bus 1,19.9674244,73.780419
Bus 1,19.9664249,73.7796627
Bus 1,19.9674244,73.780419
Bus 1,19.9676919,73.7799707
Bus 1,19.968655,73.7802994
Bus 1,19.9698676,73.780445
Bus 1,19.9699767,73.7801742
Bus 1,19.9700459,73.7800023
Bus 1,19.9702699,73.7795949
Bus 1,19.9714951,73.775965
Bus 1,19.9722182,73.7736626
Bus 1,19.9724241,73.7732895
Bus 1,19.9728591,73.7737422
Bus 1,19.9730981,73.7734757
Bus 1,19.9742031,73.7722435
Bus 1,19.9747841,73.7715956
Bus 1,19.9752168,73.7711131
Bus 1,19.9757985,73.7704644
Bus 1,19.9760883,73.7701361
Bus 1,19.9763696,73.7698275
Bus 1,19.9769074,73.7691772
Bus 1,19.976959,73.7691148
Bus 1,19.9769074,73.7691772
Bus 1,19.9763696,73.7698275
Bus 1,19.9755699,73.7690734
Bus 1,19.9755027,73.76901
Bus 1,19.9750831,73.7686144
Bus 1,19.9748564,73.7688512
Bus 1,19.974646,73.7686558
Bus 1,19.9748663,73.76841
Bus 1,19.9750781,73.7681615
Bus 1,19.9752601,73.7679637
Bus 1,19.9754674,73.7677384
Bus 1,19.9750789,73.7673417
Bus 1,19.9751392,73.767281
Bus 1,19.9753278,73.7670771
Bus 1,19.9754844,73.766908
Bus 1,19.9756568,73.7667185
Bus 1,19.9758093,73.7665522
Bus 1,19.9764512,73.7667691
Bus 1,19.9766712,73.7669252
Bus 1,19.9767907,73.7670501
Bus 1,19.9769492,73.7668418
Bus 1,19.9777537,73.7676789
Bus 1,19.9769492,73.7668418
Bus 1,19.9769941,73.7667828
Bus 1,19.9770083,73.7667109
Bus 1,19.9770546,73.766477
Bus 1,19.9777855,73.7662655
Bus 1,19.9781217,73.7662907
Bus 1,19.9783774,73.7663388
Bus 1,19.9790351,73.7664625
Bus 1,19.9794211,73.7665351
Bus 1,19.9797828,73.7666291
Bus 1,19.9796157,73.7675231
Bus 1,19.9799456,73.7677098
Bus 1,19.9801854,73.7678456
Bus 1,19.9803761,73.7673557
Bus 1,19.9815885,73.7649772
Bus 1,19.9827002,73.7655589
Bus 1,19.983765,73.7658287
Bus 1,19.9838104,73.7658326
Bus 1,19.9842033,73.7658895
Bus 1,19.9855859,73.7660094
Bus 1,19.9860251,73.7660365
Bus 1,19.9861132,73.7660431
